Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"BC26"	,"CL03A104KO3NNNC"	,"C0201"	,"90.013mm"	,"65.9mm"	,"90.013mm"	,"65.9mm"	,"90.287mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC27"	,"CL03A104KO3NNNC"	,"C0201"	,"98.513mm"	,"65.9mm"	,"98.513mm"	,"65.9mm"	,"98.787mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC28"	,"CL03A104KO3NNNC"	,"C0201"	,"107.013mm"	,"65.9mm"	,"107.013mm"	,"65.9mm"	,"107.287mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC29"	,"CL03A104KO3NNNC"	,"C0201"	,"115.513mm"	,"65.9mm"	,"115.513mm"	,"65.9mm"	,"115.787mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC30"	,"CL03A104KO3NNNC"	,"C0201"	,"124.013mm"	,"65.9mm"	,"124.013mm"	,"65.9mm"	,"124.287mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC31"	,"CL03A104KO3NNNC"	,"C0201"	,"132.513mm"	,"65.9mm"	,"132.513mm"	,"65.9mm"	,"132.787mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC32"	,"CL03A104KO3NNNC"	,"C0201"	,"141.013mm"	,"65.9mm"	,"141.013mm"	,"65.9mm"	,"141.287mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"NEO48"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"136.763mm"	,"58.5mm"	,"136.763mm"	,"58.5mm"	,"139.163mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO47"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"128.263mm"	,"58.5mm"	,"128.263mm"	,"58.5mm"	,"130.663mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO46"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"119.763mm"	,"58.5mm"	,"119.763mm"	,"58.5mm"	,"122.163mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO45"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"111.263mm"	,"58.5mm"	,"111.263mm"	,"58.5mm"	,"113.663mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO44"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"102.763mm"	,"58.5mm"	,"102.763mm"	,"58.5mm"	,"105.163mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO43"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"94.263mm"	,"58.5mm"	,"94.263mm"	,"58.5mm"	,"96.663mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO42"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"85.763mm"	,"58.5mm"	,"85.763mm"	,"58.5mm"	,"88.163mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO41"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"77.263mm"	,"58.5mm"	,"77.263mm"	,"58.5mm"	,"79.663mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO40"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"68.763mm"	,"58.5mm"	,"68.763mm"	,"58.5mm"	,"71.163mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO39"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"60.263mm"	,"58.5mm"	,"60.263mm"	,"58.5mm"	,"62.663mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO38"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"51.763mm"	,"58.5mm"	,"51.763mm"	,"58.5mm"	,"54.163mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO37"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"43.263mm"	,"58.5mm"	,"43.263mm"	,"58.5mm"	,"45.663mm"	,"56.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
